Fill,Beam E,Start T,Stop T,Blue P_0,Blue dP/dT,Yellow P_0,Yellow dP/dT,Yellow dP/dT Error,Yellow P_0 Error,Blue dP/dT Error,Blue P_0 Error,Duration,Yellow P_f,Blue P_f,Yellow P_avg,Blue P_avg
34667,100,2024-06-20 00:30:00,2024-06-20 06:45:13,56.3,-0.18,60.38,0.24,0.37,1.94,0.36,1.98,22513.0,61.286223293333336,55.666259049999994,60.833111646666666,55.983129524999995
34668,100,2024-06-20 07:56:40,2024-06-20 12:12:18,62.8,-0.74,60.59,0.07,0.5,1.92,0.53,2.15,15338.0,60.77070294277778,60.820034622222224,60.68035147138889,61.81001731111111
34681,100,2024-06-21 23:17:23,2024-06-22 07:45:33,56.71,-0.74,56.11,-1.67,0.28,2.29,0.27,2.12,30490.0,48.17381718611111,53.15576376111111,52.141908593055554,54.932881880555556
34685,100,2024-06-22 11:36:46,2024-06-22 17:51:31,62.97,-0.49,56.06,-2.29,0.39,2.01,0.43,2.37,22485.0,48.041761558333334,61.0428293875,52.05088077916667,62.00641469375
34687,100,2024-06-22 20:15:06,2024-06-23 02:25:03,59.35,-0.22,55.04,-2.51,0.43,2.54,0.41,2.24,22197.0,46.521876586666664,58.54492714166667,50.780938293333335,58.947463570833335
34688,100,2024-06-23 03:57:53,2024-06-23 06:41:06,59.97,-1.41,58.01,-2.85,0.93,2.17,0.75,2.09,9793.0,53.51260555416666,57.6697956775,55.76130277708333,58.819897838749995
34689,100,2024-06-23 10:39:32,2024-06-23 16:48:45,55.38,-0.07,54.88,-1.91,0.41,2.13,0.38,2.02,22153.0,48.42973560444445,55.14144911166667,51.65486780222223,55.260724555833335
34690,100,2024-06-23 18:08:08,2024-06-23 22:33:38,58.36,-0.07,57.11,-1.37,0.82,2.57,0.74,2.52,15930.0,53.647849025,58.1792299,55.3789245125,58.269614950000005
34691,100,2024-06-24 00:30:38,2024-06-24 06:47:04,54.55,-0.18,54.66,-1.52,0.46,2.32,0.4,2.18,22586.0,49.447452346666665,53.93396685,52.05372617333333,54.241983425
34692,100,2024-06-24 07:59:46,2024-06-24 09:18:20,55.46,-0.18,58.57,-0.04,0.74,2.81,0.54,3.02,4714.0,58.53932233555555,55.32928078,58.55466116777778,55.39464039
34693,100,2024-06-24 10:43:00,2024-06-24 17:14:57,55.57,-0.06,57.15,-0.99,0.4,2.1,0.38,2.09,23517.0,53.454009487499995,55.352193385,55.30200474375,55.4610966925
34694,100,2024-06-24 18:44:00,2024-06-24 23:30:12,56.42,1.47,60.51,-0.21,0.52,2.09,0.63,2.51,17172.0,59.903871329999994,60.37611398000001,60.206935664999996,58.39805699
